what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1327258124254
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1327258124346
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1327258124459
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1327258124459
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1327258124478
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1327258124478
os,sysinfo,,,"macosx",1327258124480
arch,sysinfo,,,"x86_64",1327258124480
ws,sysinfo,,,"cocoa",1327258124480
locale,sysinfo,,,"en_US",1327258124480
processors,sysinfo,,,"4",1327258124480
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327258124480
java.runtime.version,sysinfo,,,"1.6.0_26-b03-383-11A511",1327258124480
java.specification.name,sysinfo,,,"Java Platform API Specification",1327258124480
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327258124480
java.specification.version,sysinfo,,,"1.6",1327258124480
java.vendor,sysinfo,,,"Apple Inc.",1327258124480
java.version,sysinfo,,,"1.6.0_26",1327258124480
java.vm.info,sysinfo,,,"mixed mode",1327258124480
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1327258124480
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327258124480
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327258124480
java.vm.specification.version,sysinfo,,,"1.0",1327258124480
java.vm.vendor,sysinfo,,,"Apple Inc.",1327258124480
java.vm.version,sysinfo,,,"20.1-b02-383",1327258124480
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1327258124563
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1327258124621
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1327258124877
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1327258124969
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1327258125011
